ProgrammeID,ProgrammeName,Airing_Language,Genre,Subgenre,Airing_Channel,ChannelLanguage,Airing_Date,Airing_Time
30000000549735333,Uthiri Pookal,Tamil,TV Show,Drama,Sun TV HD,Tamil,2021-03-01,02:00:00
30000000550202572,Sankalp,Gujarati,TV Show,Drama,DD Girnar,Gujarati,2021-03-01,05:00:00
30000000550829662,Luxmi Narayan Jyotish Rahasya,Hindi,TV Show,Religious,Divya TV,Hindi,2021-03-01,19:00:00
30000000550829817,The Cinematic Journey 2000-2010,Hindi,TV Show,Art/Culture,DD India,Hindi,2021-03-01,11:00:00
30000000550830068,Samapthamayindi,Telugu,TV Show,Religious,Subhavaartha,Telugu,2021-03-01,23:00:00
30000000550830125,Silva Sirulu,Telugu,TV Show,Religious,Aradana TV,Telugu,2021-03-01,19:00:00
30000000550830162,Swami Krishnanand Ji Maharaj,Hindi,TV Show,Religious,MH One Shraddha,Hindi,2021-03-01,21:00:00
30000000550433061,Mahila Sashaktikaran,Hindi,TV Show,Religious,DD UP,Hindi,2021-03-01,19:30:00
30000000550830027,Majakiya Malti,Bhojpuri,TV Show,Drama,Anjan TV,Bhojpuri,2021-03-01,21:00:00
30000000550830099,Rstv Special ,Hindi,TV Show,Special Report,RSTV,Hindi,2021-03-01,19:00:00
30000000550829828,Mehfil - A- Mushayara,Hindi,TV Show,Special Report,DD Madhya Pradesh,Hindi,2021-03-01,20:00:00
30000000550830160,International Yog Day,Hindi,TV Show,Events/Festivals,MH One Shraddha,Hindi,2021-03-01,21:00:00
30000000550829990,Pujya Saritadevi Maa Live,Gujarati,TV Show,Religious,Lakshya TV,Gujarati,2021-03-01,22:00:00
30000000550830109,Anganeyenkil Engane,Malayalam,TV Show,Magazine Programme,MediaOne,Malayalam,2021-03-01,23:00:00
30000000550830128,Trafficked,English,TV Show,Magazine Programme,National Geographic Channel HD,English,2021-03-01,00:00:00
30000000550830229,1st Convocation Of IUST Live,Hindi,TV Show,Special Report,DD Kashir,Kashmiri,2021-03-01,01:00:00
30000000550829641,Drona Educational App Live,Kannada,TV Show,Special Report,Ayush TV,Kannada,2021-03-01,02:00:00
30000000550829995,Bhauja Namaskar - Remix,Oriya,TV Show,Comedy,MANJARI,Oriya,2021-03-01,03:00:00
30000000550830105,Rock On,Telugu,TV Show,Special Report,ABN Telugu News,Telugu,2021-03-01,04:00:00
30000000550830161,Studio CP Dixit Ji,Hindi,TV Show,Religious,MH One Shraddha,Hindi,2021-03-01,05:00:00
30000000550830032,Pyaar Wale Vibes,Hindi,TV Show,Entertainment,Bindass,Hindi,2021-03-01,06:00:00
30000000550830082,Naadaga Medai,Tamil,TV Show,Entertainment,DD Podhigai,Tamil,2021-03-01,07:00:00
30000000550830175,Aassamlok Dance,Rajasthani,TV Show,Art/Culture,DD Rajasthan,Rajasthani,2021-03-01,08:00:00
30000000550830158,Rabindranath Tagore Stories,Hindi,TV Show,Drama,ISHARA,Hindi,2021-03-01,09:00:00
30000000550829811,India-Seychelles Relations,Hindi,TV Show,Special Report,DD India,Hindi,2021-03-01,10:00:00
30000000550830097,Goli Soda,Malayalam,TV Show,Magazine Programme,Raj Musix Malayalam,Malayalam,2021-03-01,11:00:00
30000000550830155,Maryaada,Hindi,TV Show,Entertainment,ISHARA,Hindi,2021-03-01,12:00:00
30000000550830180,Sherya Ghoshal,Telugu,TV Show,Entertainment,ABN Telugu News,Telugu,2021-03-01,13:00:00
30000000549734214,Time Machine,Hindi,TV Show,Entertainment,ISHARA,Hindi,2021-03-02,14:00:00
30000000550461818,Seychelles To Mauritius,Malayalam,TV Show,Travel,Safari TV,Malayalam,2021-03-02,15:00:00
